Date,P4TC,P1A,P2A,P3A,P4,P5,P6,P7,P8
2019-08-02,14234.0,17639.0,26610.0,12186.0,6666.0,11944.0,14439.0,,
2019-08-05,14025.0,17485.0,26409.0,11842.0,6579.0,11533.0,14350.0,,
2019-08-06,14068.0,17620.0,26439.0,11779.0,6590.0,11406.0,14525.0,,
2019-08-07,14320.0,18115.0,26681.0,12152.0,6617.0,11731.0,14920.0,,
2019-08-08,14701.0,18835.0,27155.0,12500.0,6664.0,12044.0,15340.0,,
2019-08-09,15169.0,19570.0,28105.0,12723.0,6702.0,,15758.0,,
2019-08-12,15440.0,19925.0,28614.0,12951.0,6724.0,,15975.0,,
2019-08-13,15983.0,20585.0,29395.0,13644.0,6972.0,12578.0,16443.0,,
2019-08-14,16708.0,21540.0,29993.0,14825.0,7161.0,13967.0,17008.0,,
2019-08-15,17198.0,22050.0,30511.0,15550.0,7279.0,15375.0,17413.0,,
2019-08-16,17359.0,22085.0,30630.0,16015.0,7347.0,16219.0,17593.0,,
2019-08-19,17402.0,21995.0,30605.0,16170.0,7352.0,16439.0,17645.0,,
2019-08-20,17299.0,21635.0,30582.0,16121.0,7339.0,16667.0,17600.0,,
2019-08-21,17309.0,21595.0,30727.0,16178.0,7333.0,16856.0,17850.0,,
2019-08-22,17456.0,21595.0,31050.0,16528.0,7403.0,17133.0,18617.0,,
2019-08-23,17583.0,21555.0,31164.0,16825.0,7420.0,17417.0,19078.0,,
2019-08-26,,,,,,17617.0,,,
2019-08-27,17760.0,21640.0,31427.0,17187.0,7500.0,17672.0,19408.0,,
2019-08-28,17897.0,21750.0,31670.0,17373.0,7562.0,17811.0,19665.0,,
2019-08-29,18012.0,21890.0,31784.0,17548.0,7635.0,18028.0,19895.0,,
2019-08-30,18098.0,21940.0,31861.0,17692.0,7691.0,18128.0,20120.0,,
2019-09-02,18116.0,21945.0,31911.0,17690.0,7712.0,18178.0,20155.0,,
2019-09-03,18113.0,21770.0,31948.0,17759.0,7735.0,18275.0,20090.0,,
2019-09-04,18026.0,21605.0,31841.0,17733.0,7729.0,18417.0,19845.0,,
2019-09-05,17898.0,21435.0,31659.0,17495.0,7771.0,18456.0,19593.0,,
2019-09-06,17755.0,21285.0,31511.0,17222.0,7795.0,18294.0,19248.0,,
2019-09-09,17556.0,21025.0,31291.0,16949.0,7787.0,18139.0,18985.0,,
2019-09-10,17315.0,20735.0,30955.0,16518.0,7729.0,17625.0,18595.0,,
2019-09-11,17171.0,20675.0,30718.0,16238.0,7700.0,16944.0,18375.0,,
2019-09-12,17051.0,20700.0,30659.0,15917.0,7603.0,16189.0,18235.0,,
2019-09-13,17077.0,20900.0,30818.0,15807.0,7553.0,15831.0,18155.0,,
2019-09-16,17077.0,21010.0,30886.0,15652.0,7548.0,15656.0,18072.0,,
2019-09-17,16977.0,21000.0,30773.0,15446.0,7457.0,15533.0,17845.0,,
2019-09-18,16717.0,20725.0,30480.0,15124.0,7304.0,15356.0,17485.0,,
2019-09-19,16424.0,20335.0,30020.0,14759.0,7200.0,15000.0,17003.0,,
2019-09-20,16109.0,19830.0,29573.0,14435.0,7104.0,14633.0,16635.0,,
2019-09-23,15831.0,19380.0,29261.0,14171.0,7028.0,14331.0,16365.0,,
2019-09-24,15517.0,18785.0,28708.0,13943.0,6941.0,14039.0,16075.0,,
2019-09-25,15205.0,18310.0,28223.0,13725.0,6862.0,13711.0,15785.0,,
2019-09-26,14781.0,17665.0,27486.0,13423.0,6757.0,13389.0,15430.0,,
2019-09-27,14444.0,17095.0,27000.0,13090.0,6662.0,13050.0,15130.0,,
2019-09-30,14140.0,16610.0,26423.0,12804.0,6491.0,12839.0,14915.0,,
2019-10-01,13973.0,16285.0,26241.0,12713.0,6443.0,12663.0,14860.0,,
2019-10-02,13819.0,15915.0,25995.0,12754.0,6421.0,12729.0,14760.0,,
2019-10-03,13796.0,15745.0,25850.0,12845.0,6434.0,12844.0,14715.0,,
2019-10-04,13868.0,15670.0,25836.0,13153.0,6485.0,13063.0,14775.0,,
2019-10-07,14007.0,15780.0,25900.0,13554.0,6537.0,13188.0,14810.0,,
2019-10-08,14453.0,16435.0,26514.0,14065.0,6716.0,13419.0,14955.0,,
2019-10-09,14840.0,16975.0,26973.0,14596.0,6813.0,13772.0,15205.0,,
2019-10-10,15220.0,17330.0,27455.0,15068.0,6946.0,14250.0,15800.0,,
2019-10-11,15355.0,17430.0,27577.0,15259.0,7006.0,14728.0,16030.0,,
2019-10-14,15455.0,17470.0,27605.0,15465.0,7080.0,15169.0,16100.0,,
2019-10-15,15376.0,17373.0,27500.0,15401.0,7018.0,15333.0,16005.0,,
2019-10-16,15132.0,16850.0,27223.0,15179.0,6953.0,15139.0,15778.0,,
2019-10-17,14923.0,16495.0,26973.0,14952.0,6912.0,14872.0,15545.0,,
2019-10-18,14751.0,16295.0,26736.0,14715.0,6876.0,14672.0,15375.0,,
2019-10-21,14586.0,16045.0,26495.0,14518.0,6818.0,14517.0,15175.0,,
2019-10-22,14388.0,15900.0,26264.0,14161.0,6799.0,14375.0,14985.0,,
2019-10-23,14194.0,15645.0,26077.0,13858.0,6701.0,14294.0,14825.0,,
